Symbol,Contract Name,Strike Price,Last Price,Bid Price,Ask Price,Volume,Open Interest
VIX230920C00060000,I:VIX Sep 2023 60.000 call,60.00,2023-09-19,0.2800,47,"336,862"
AMC230721C00010000,AMC Jul 2023 10.000 call,10.00,2023-07-20,0.0400,"10,849","328,109"
AMC230721P00010000,AMC Jul 2023 10.000 put,10.00,2023-07-20,6.70,"7,857","301,579"
VIX230719C00023000,I:VIX Jul 2023 23.000 call,23.00,2023-07-18,0.3400,"4,848","301,547"
NKLA230721P00000500,NKLA Jul 2023 0.500 put,0.50,2023-07-20,0.0400,"1,286","288,428"
VIX230719C00020000,I:VIX Jul 2023 20.000 call,20.00,2023-07-18,0.5000,"4,683","281,457"
VIX230719C00022000,I:VIX Jul 2023 22.000 call,22.00,2023-07-18,0.3900,"5,305","263,075"
VIX230816C00060000,I:VIX Aug 2023 60.000 call,60.00,2023-08-15,0.1200,"1,037","258,007"
TLT231117C00130000,TLT Nov 2023 130.000 call,130.00,2023-11-16,0.2400,1,"241,910"
QQQ230915P00285000,QQQ Sep 2023 285.000 put,285.00,2023-09-14,0.7400,355,"239,324"
TLT231117C00135000,TLT Nov 2023 135.000 call,135.00,2023-11-16,0.1500,1,"238,895"
VIX230719C00021000,I:VIX Jul 2023 21.000 call,21.00,2023-07-18,0.4200,"1,043","235,004"
ATVI240119P00085000,ATVI Jan 2024 85.000 put,85.00,2024-01-18,5.70,424,"231,068"
VIX230719C00025000,I:VIX Jul 2023 25.000 call,25.00,2023-07-18,0.3000,"6,056","227,633"
AMC230721P00004000,AMC Jul 2023 4.000 put,4.00,2023-07-20,1.0000,"13,927","224,802"
QQQ231215P00325000,QQQ Dec 2023 325.000 put,325.00,2023-12-14,6.63,273,"222,279"
VIX230816C00025000,I:VIX Aug 2023 25.000 call,25.00,2023-08-15,0.8500,"11,499","221,361"
AMC230818P00004000,AMC Aug 2023 4.000 put,4.00,2023-08-17,1.6400,"3,930","218,528"
NKLA231020P00000500,NKLA Oct 2023 0.500 put,0.50,2023-10-19,0.1500,753,"213,602"
NKLA250117C00002000,NKLA Jan 2025 2.000 call,2.00,2025-01-16,0.1900,333,"210,602"
SPY230804P00375000,SPY Aug 2023 375.000 put,375.00,2023-08-03,0.3300,"70,260","210,485"
VIX230816C00020000,I:VIX Aug 2023 20.000 call,20.00,2023-08-15,1.3500,"7,953","205,099"
NU231020P00005500,NU Oct 2023 5.500 put,5.50,2023-10-19,0.1500,10,"204,798"
NU231020P00004500,NU Oct 2023 4.500 put,4.50,2023-10-19,0.0500,22,"201,658"
NKLA230818P00000500,NKLA Aug 2023 0.500 put,0.50,2023-08-17,0.0800,855,"201,341"
